Antibody pair,RF Prediction,LR Prediction,GNB Prediction,XGB Prediction,FFNN Prediction
1_1,[0.92136642],[0.95300439],[1.],[0.53367907],[[0.5492579]]
1_2,[0.00069799],[9.29549218e-05],[1.53275676e-06],[6.827342e-05],[[4.179782e-05]]
1_6,[0.00052891],[0.00138605],[2.74116006e-05],[3.3268974e-05],[[0.00016728]]
1_3,[0.00081006],[0.00038708],[2.0644822e-06],[2.4421628e-05],[[9.002819e-05]]
1_4,[0.00068707],[0.00040021],[1.98039876e-06],[6.511479e-05],[[6.705964e-05]]
1_5,[0.00055008],[0.00140424],[2.20807048e-05],[2.8809493e-05],[[0.00016674]]
1_7,[0.00058346],[0.00112142],[1.96130921e-05],[2.4428173e-05],[[0.00041708]]
1_8,[0.00048473],[0.00108105],[1.72447298e-05],[1.7024133e-05],[[0.00041783]]
1_9,[0.00100485],[0.00103714],[2.50825557e-05],[3.6457288e-05],[[0.00039104]]
1_10,[0.00065861],[0.00080524],[1.14528199e-05],[2.2854354e-05],[[0.00029829]]
2_1,[0.00069799],[9.29549218e-05],[1.53275676e-06],[6.827342e-05],[[4.179782e-05]]
2_2,[0.92136642],[0.95300439],[1.],[0.53367907],[[0.5492579]]
2_6,[0.0010881],[0.00393399],[0.02090954],[0.0002168],[[0.0011107]]
2_3,[0.00073056],[0.00269084],[0.00022726],[4.509127e-05],[[0.00067124]]
2_4,[0.00931787],[0.01166157],[0.00213898],[0.00104283],[[0.00334686]]
2_5,[0.00101974],[0.00411778],[0.00221943],[8.094147e-05],[[0.00114188]]
2_7,[0.00089332],[0.00166807],[0.0004468],[2.858555e-05],[[0.00061926]]
2_8,[0.00051925],[0.0018241],[0.00128564],[2.7898921e-05],[[0.0006538]]
2_9,[0.00084399],[0.0013123],[0.00049305],[4.1714524e-05],[[0.00049201]]
2_10,[0.00049371],[0.00142661],[0.00039938],[2.1358492e-05],[[0.0005264]]
6_1,[0.00052891],[0.00138605],[2.74116006e-05],[3.3268974e-05],[[0.00016728]]
6_2,[0.0010881],[0.00393399],[0.02090954],[0.0002168],[[0.0011107]]
6_6,[0.92136642],[0.95300439],[1.],[0.53367907],[[0.5492579]]
6_3,[0.00225448],[0.00160171],[0.00057821],[0.00012752],[[0.00052181]]
6_4,[0.0013173],[0.00366172],[5.7525635e-05],[0.00014151],[[0.00049576]]
6_5,[0.99349726],[0.9540092],[1.],[0.9972161],[[0.5387569]]
6_7,[0.00052323],[0.00747383],[0.00120505],[2.2382248e-05],[[0.00430879]]
6_8,[0.00049819],[0.00799372],[0.00311614],[2.0683023e-05],[[0.00468144]]
6_9,[0.00187209],[0.00701189],[0.00167949],[3.3103835e-05],[[0.0044696]]
6_10,[0.00048625],[0.00311414],[0.00024883],[1.644168e-05],[[0.00172123]]
3_1,[0.00081006],[0.00038708],[2.0644822e-06],[2.4421628e-05],[[9.002819e-05]]
3_2,[0.00073056],[0.00269084],[0.00022726],[4.509127e-05],[[0.00067124]]
3_6,[0.00225448],[0.00160171],[0.00057821],[0.00012752],[[0.00052181]]
3_3,[0.92136642],[0.95300439],[1.],[0.53367907],[[0.5492579]]
3_4,[0.00043961],[0.00043137],[1.13083638e-06],[2.4693076e-05],[[7.382078e-05]]
3_5,[0.00226058],[0.00163205],[0.00037252],[0.00033141],[[0.0005227]]
3_7,[0.00062076],[0.00130248],[3.71081097e-05],[7.220688e-05],[[0.00025824]]
3_8,[0.00059828],[0.00122077],[2.50784326e-05],[0.00012637],[[0.00028542]]
3_9,[0.00061849],[0.00128669],[5.03588646e-05],[5.498913e-05],[[0.00025776]]
3_10,[0.00061849],[0.00135288],[5.03394174e-05],[5.445233e-05],[[0.00027317]]
4_1,[0.00068707],[0.00040021],[1.98039876e-06],[6.511479e-05],[[6.705964e-05]]
4_2,[0.00931787],[0.01166157],[0.00213898],[0.00104283],[[0.00334686]]
4_6,[0.0013173],[0.00366172],[5.7525635e-05],[0.00014151],[[0.00049576]]
4_3,[0.00043961],[0.00043137],[1.13083638e-06],[2.4693076e-05],[[7.382078e-05]]
4_4,[0.92136642],[0.95300439],[1.],[0.53367907],[[0.5492579]]
4_5,[0.00281344],[0.00380016],[1.66999864e-05],[0.00028665],[[0.00050512]]
4_7,[0.00110265],[0.00245442],[8.84573593e-05],[3.7269107e-05],[[0.00110236]]
4_8,[0.00229795],[0.00242504],[0.00013021],[0.00012551],[[0.0011265]]
4_9,[0.0020304],[0.00177698],[0.00012553],[8.848043e-05],[[0.0007619]]
4_10,[0.00233075],[0.00249506],[0.00013306],[0.00014643],[[0.0011543]]
5_1,[0.00055008],[0.00140424],[2.20807048e-05],[2.8809493e-05],[[0.00016674]]
5_2,[0.00101974],[0.00411778],[0.00221943],[8.094147e-05],[[0.00114188]]
5_6,[0.99349726],[0.9540092],[1.],[0.9972161],[[0.5387569]]
5_3,[0.00226058],[0.00163205],[0.00037252],[0.00033141],[[0.0005227]]
5_4,[0.00281344],[0.00380016],[1.66999864e-05],[0.00028665],[[0.00050512]]
5_5,[0.92136642],[0.95300439],[1.],[0.53367907],[[0.5492579]]
5_7,[0.00051701],[0.00747307],[0.00133624],[2.3457978e-05],[[0.0043112]]
5_8,[0.00048794],[0.00807497],[0.00320412],[4.7275516e-05],[[0.00458896]]
5_9,[0.00064626],[0.00707022],[0.00152961],[2.8526181e-05],[[0.00440457]]
5_10,[0.00049729],[0.00314256],[0.00025378],[2.2158378e-05],[[0.00175157]]
7_1,[0.00058346],[0.00112142],[1.96130921e-05],[2.4428173e-05],[[0.00041708]]
7_2,[0.00089332],[0.00166807],[0.0004468],[2.858555e-05],[[0.00061926]]
7_6,[0.00052323],[0.00747383],[0.00120505],[2.2382248e-05],[[0.00430879]]
7_3,[0.00062076],[0.00130248],[3.71081097e-05],[7.220688e-05],[[0.00025824]]
7_4,[0.00110265],[0.00245442],[8.84573593e-05],[3.7269107e-05],[[0.00110236]]
7_5,[0.00051701],[0.00747307],[0.00133624],[2.3457978e-05],[[0.0043112]]
7_7,[0.92136642],[0.95300439],[1.],[0.53367907],[[0.5492579]]
7_8,[0.98],[0.94644179],[1.],[0.9988267],[[0.53457433]]
7_9,[0.99851109],[0.89148832],[1.],[0.96171653],[[0.52254444]]
7_10,[0.98807153],[0.86808941],[1.],[0.9190033],[[0.51907426]]
8_1,[0.00048473],[0.00108105],[1.72447298e-05],[1.7024133e-05],[[0.00041783]]
8_2,[0.00051925],[0.0018241],[0.00128564],[2.7898921e-05],[[0.0006538]]
8_6,[0.00049819],[0.00799372],[0.00311614],[2.0683023e-05],[[0.00468144]]
8_3,[0.00059828],[0.00122077],[2.50784326e-05],[0.00012637],[[0.00028542]]
8_4,[0.00229795],[0.00242504],[0.00013021],[0.00012551],[[0.0011265]]
8_5,[0.00048794],[0.00807497],[0.00320412],[4.7275516e-05],[[0.00458896]]
8_7,[0.98],[0.94644179],[1.],[0.9988267],[[0.53457433]]
8_8,[0.92136642],[0.95300439],[1.],[0.53367907],[[0.5492579]]
8_9,[1.],[0.87218572],[1.],[0.99889994],[[0.51484704]]
8_10,[1.],[0.84523181],[1.],[0.9994311],[[0.5122008]]
9_1,[0.00100485],[0.00103714],[2.50825557e-05],[3.6457288e-05],[[0.00039104]]
9_2,[0.00084399],[0.0013123],[0.00049305],[4.1714524e-05],[[0.00049201]]
9_6,[0.00187209],[0.00701189],[0.00167949],[3.3103835e-05],[[0.0044696]]
9_3,[0.00061849],[0.00128669],[5.03588646e-05],[5.498913e-05],[[0.00025776]]
9_4,[0.0020304],[0.00177698],[0.00012553],[8.848043e-05],[[0.0007619]]
9_5,[0.00064626],[0.00707022],[0.00152961],[2.8526181e-05],[[0.00440457]]
9_7,[0.99851109],[0.89148832],[1.],[0.96171653],[[0.52254444]]
9_8,[1.],[0.87218572],[1.],[0.99889994],[[0.51484704]]
9_9,[0.92136642],[0.95300439],[1.],[0.53367907],[[0.5492579]]
9_10,[0.99975904],[0.82049063],[1.],[0.97522515],[[0.504916]]
10_1,[0.00065861],[0.00080524],[1.14528199e-05],[2.2854354e-05],[[0.00029829]]
10_2,[0.00049371],[0.00142661],[0.00039938],[2.1358492e-05],[[0.0005264]]
10_6,[0.00048625],[0.00311414],[0.00024883],[1.644168e-05],[[0.00172123]]
10_3,[0.00061849],[0.00135288],[5.03394174e-05],[5.445233e-05],[[0.00027317]]
10_4,[0.00233075],[0.00249506],[0.00013306],[0.00014643],[[0.0011543]]
10_5,[0.00049729],[0.00314256],[0.00025378],[2.2158378e-05],[[0.00175157]]
10_7,[0.98807153],[0.86808941],[1.],[0.9190033],[[0.51907426]]
10_8,[1.],[0.84523181],[1.],[0.9994311],[[0.5122008]]
10_9,[0.99975904],[0.82049063],[1.],[0.97522515],[[0.504916]]
10_10,[0.92136642],[0.95300439],[1.],[0.53367907],[[0.5492579]]
